=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.23 12:11:01 =~=~=~=~=~=~=~=~=~=~=~=
Pa;echo: Pa, 4
echo: Pa, 0
echo: Pm, 0

M:BatteryMonitor: silent DEPLOY
M::Coulombs: silent DEPLOY
M::EKF_1x1: silent DEPLOY

modeling 0
echo: Ps, 0

modeling=0
S:BatterySim: silent DEPLOY
S::Coulombs: silent DEPLOY
echo: Pr, 0

saved parameters (sp):
             defaults    current EERAM values
 inj amp  0.000    0.000 *Xa<> A pk
 cut_gn_slr  1.000    1.000 *Sk<>
 debug  0  0 *v<>
 delta_q       0.0        0.0 *DQ<>
 dq_sim        0.0        0.0 *Ca<>, *Cm<>, C
 inj frq  0.000    0.000 *Xf<> r/s
 Ib_bias_all  0.000    0.000 *Di<> A
 bias_amp  1.003    1.003 *DA<>
 bias_noa  0.173    0.173 *DB<>
 ib_scale_amp  1.006    1.006 *SA<>
 ib_scale_noa  1.042    1.042 *SB<>
 ib_select 1  1 *s<> -1=noa, 0=auto, 1=amp
 iflt                           1 flt ptr
 inj_bias  0.000    0.000 *Xb<> A
 isum                           196 tbl ptr
 modeling 0  0 *Xm<>
 mon chem            1          1 *Bm<> 0=Battleborn, 1=CHINS, 2=Spare
 preserving 0  0 *Xm<>
 nP              2.000      2.000 *BP<> eg '2P1S'
 nS              1.000      1.000 *BS<> eg '2P1S'
 sim chem            1          1 *Bs<>
 s_cap_mon  1.000    1.000 *SQ<>
 s_cap_sim  1.000    1.000 *Sq<>
 Tb_bias_hdwe  0.000    0.000 *Dt<> dg C
 time_now 1703352931 Sat Dec 23 17:35:31 2023 *U<> Unix time
 type inj 0  0 *Xt<> 1=sin, 2=sq, 3=tri, 4=1C, 5=-1C, 8=cos
 t_last 25.00  13.31 dg C
 t_last_sim 25.00  13.31 dg C
 Vb_bias_hdwe   0.030    0.030 *Dc<> V
 sclr vb         1.017      1.017 *SV<>

 vb_table_bias   0.000      0.000 *Dw

command parameters(cp):
 dc_dc_on 0
 eframe_mult 20
 fake_faults 1
 inf_reset 0
 model_cutback 1
 model_saturated 1
 print_mult 4
 publishS 1
 soft_reset 0
 s_t_sat  1.000
 tb_bias_mod  0.000
 write_summary 0
echo: PM, 0

Shunt: silent DEPLOY
echo: PN, 0

Shunt: silent DEPLOY
echo: Ph, 0

h? 'h'
echo: Hd, 0

unit_h, 2023-12-18T07:22:21, 1702884141,  16.687,  13.227,  -1.237,  -1.302,  16.687,  13.227,  -1.237,  0.8673,  0.0651,  0.6803,  13.251,  13.251,   0.040, 0, 0,
unit_h, 2023-12-18T07:52:21, 1702885941,  16.750,  13.232,  -0.783,  -0.780,  16.750,  13.232,  -0.783,  0.8621,  0.0657,  0.6784,  13.248,  13.248,   0.040, 0, 0,
unit_h, 2023-12-18T08:22:21, 1702887741,  16.812,  13.249,  -0.680,  -0.607,  16.812,  13.249,  -0.680,  0.8572,  0.0663,  0.6795,  13.263,  13.263,   0.037, 0, 0,
unit_h, 2023-12-18T08:52:21, 1702889541,  16.875,  13.223,  -1.340,  -1.302,  16.875,  13.223,  -1.340,  0.8522,  0.0669,  0.6799,  13.248,  13.248,   0.039, 0, 0,
unit_h, 2023-12-18T09:22:21, 1702891341,  16.937,  13.271,  -0.228,  -0.173,  16.937,  13.271,  -0.228,  0.8479,  0.0674,  0.6824,  13.275,  13.275,   0.026, 0, 0,
unit_h, 2023-12-18T09:52:21, 1702893141,  17.000,  13.262,  -0.193,  -0.087,  17.000,  13.262,  -0.193,  0.8464,  0.0680,  0.7077,  13.266,  13.266,   0.016, 0, 0,
unit_h, 2023-12-18T10:22:22, 1702894942,  17.000,  13.283,  -0.193,  -0.173,  17.000,  13.283,  -0.193,  0.8454,  0.0680,  0.7261,  13.287,  13.287,   0.010, 0, 0,
unit_h, 2023-12-18T10:52:22, 1702896742,  17.062,  13.266,  -0.193,  -0.173,  17.062,  13.266,  -0.193,  0.8440,  0.0686,  0.7471,  13.270,  13.270,   0.008, 0, 0,
unit_h, 2023-12-18T11:22:22, 1702898542,  17.062,  13.271,  -0.193,  -0.173,  17.062,  13.271,  -0.193,  0.8431,  0.0686,  0.7652,  13.274,  13.274,   0.006, 0, 0,
unit_h, 2023-12-18T11:52:22, 1702900342,  17.062,  13.279,  -0.193,  -0.173,  17.062,  13.279,  -0.193,  0.8421,  0.0686,  0.7795,  13.283,  13.283,   0.006, 0, 0,
unit_h, 2023-12-18T12:22:22, 1702902142,  17.062,  13.279,  -0.193,  -0.173,  17.062,  13.279,  -0.193,  0.8412,  0.0686,  0.7889,  13.283,  13.283,   0.006, 1024, 0,
unit_h, 2023-12-18T12:52:22, 1702903942,  17.062,  13.283,  -0.193,  -0.173,  17.062,  13.283,  -0.193,  0.8403,  0.0686,  0.7947,  13.287,  13.287,   0.004, 1024, 0,
unit_h, 2023-12-18T13:22:22, 1702905742,  17.062,  13.279,  -0.158,  -0.173,  17.062,  13.279,  -0.158,  0.8394,  0.0686,  0.7994,  13.283,  13.283,   0.004, 0, 0,
unit_h, 2023-12-18T13:52:22, 1702907542,  17.062,  13.283,  -0.158,  -0.173,  17.062,  13.283,  -0.158,  0.8386,  0.0686,  0.8039,  13.287,  13.287,   0.003, 0, 0,
unit_h, 2023-12-18T14:22:22, 1702909342,  17.062,  13.279,  -0.158,  -0.173,  17.062,  13.279,  -0.158,  0.8378,  0.0686,  0.8084,  13.283,  13.283,   0.003, 0, 0,
unit_h, 2023-12-18T14:52:22, 1702911142,  17.062,  13.287,  -0.123,  -0.087,  17.062,  13.287,  -0.123,  0.8371,  0.0686,  0.8133,  13.290,  13.290,   0.001, 1024, 0,
unit_h, 2023-12-18T15:22:23, 1702912943,  17.062,  13.279,  -0.123,  -0.173,  17.062,  13.279,  -0.123,  0.8365,  0.0686,  0.8203,  13.282,  13.282,   0.001, 0, 0,
unit_h, 2023-12-18T15:52:23, 1702914743,  17.062,  13.292,  -0.088,   0.000,  17.062,  13.292,  -0.088,  0.8359,  0.0686,  0.8253,  13.294,  13.294,  -0.001, 0, 0,
unit_h, 2023-12-18T16:22:23, 1702916543,  17.062,  13.292,   0.118,   0.085,  17.062,  13.292,   0.118,  0.8357,  0.0686,  0.8344,  13.290,  13.290,  -0.005, 0, 0,
unit_h, 2023-12-18T16:52:23, 1702918343,  17.125,  13.301,  -0.018,   0.085,  17.125,  13.301,  -0.018,  0.8356,  0.0692,  0.8549,  13.301,  13.301,  -0.010, 0, 0,
unit_h, 2023-12-18T17:22:23, 1702920143,  17.125,  13.297,  -0.088,   0.000,  17.125,  13.297,  -0.088,  0.8354,  0.0692,  0.8692,  13.298,  13.298,  -0.007, 0, 0,
unit_h, 2023-12-18T17:52:23, 1702921943,  17.187,  13.287,  -0.123,  -0.173,  17.187,  13.287,  -0.123,  0.8342,  0.0698,  0.8662,  13.290,  13.290,  -0.003, 0, 0,
unit_h, 2023-12-18T18:22:23, 1702923743,  17.187,  13.287,  -0.193,  -0.087,  17.187,  13.287,  -0.193,  0.8333,  0.0698,  0.8599,  13.292,  13.292,  -0.003, 0, 0,
unit_h, 2023-12-18T18:52:23, 1702925543,  17.250,  13.391,   3.143,   3.385,  17.250,  13.391,   3.143,  0.8341,  0.0704,  0.8652,  13.330,  13.330,  -0.048, 0, 0,
unit_h, 2023-12-18T19:22:23, 1702927343,  17.250,  13.313,  -0.088,  -0.087,  17.250,  13.313,  -0.088,  0.8377,  0.0704,  0.9627,  13.315,  13.315,  -0.027, 0, 0,
unit_h, 2023-12-18T19:52:23, 1702929143,  17.250,  13.305,  -0.088,   0.000,  17.250,  13.305,  -0.088,  0.8372,  0.0704,  0.9667,  13.307,  13.307,  -0.014, 1024, 0,
unit_h, 2023-12-18T20:22:24, 1702930944,  17.312,  13.297,  -0.158,  -0.173,  17.312,  13.297,  -0.158,  0.8361,  0.0709,  0.9534,  13.299,  13.299,  -0.013, 0, 0,
unit_h, 2023-12-18T20:52:24, 1702932744,  17.312,  13.292,  -0.158,  -0.173,  17.312,  13.292,  -0.158,  0.8353,  0.0709,  0.9355,  13.295,  13.295,  -0.007, 1024, 0,
unit_h, 2023-12-18T21:22:24, 1702934544,  17.312,  13.292,  -0.193,  -0.173,  17.312,  13.292,  -0.193,  0.8344,  0.0709,  0.9143,  13.296,  13.296,  -0.004, 0, 0,
unit_h, 2023-12-18T21:52:24, 1702936344,  17.312,  13.301,  -0.193,  -0.173,  17.312,  13.301,  -0.193,  0.8335,  0.0709,  0.8942,  13.304,  13.304,  -0.003, 0, 0,
unit_h, 2023-12-18T22:22:24, 1702938144,  17.312,  13.279,  -0.193,  -0.173,  17.312,  13.279,  -0.193,  0.8326,  0.0709,  0.8766,  13.283,  13.283,  -0.001, 1024, 0,
unit_h, 2023-12-18T22:52:24, 1702939944,  17.312,  13.287,  -0.193,  -0.173,  17.312,  13.287,  -0.193,  0.8316,  0.0709,  0.8627,  13.292,  13.292,   0.000, 1024, 0,
