echo: Q, 4
echo: Q, 0
ib_amp_fail = 0,
ib_noa_fail = 0,
vb_fail = 0,
Tb  =  10.042,
Vb  =  13.159,
Voc =  23.031,
voc_filt  =  23.081,
Vsat =  13.740,
Ib  =  -1.743,
soc_m =   1.0000,
soc_ekf=   0.0091,
soc =   1.0000,
modeling = 0,
echo: Pf, 0

Sen::
unit_f, 2022-11-29T09:15:12, 1669727712,  10.995,  13.154,  -1.943,  -2.125,  10.995,  13.154,  -1.943,  0.9998,  0.9909,  13.294,  13.294,   1.126, 0, 0,
unit_f, 2022-11-29T09:15:22, 1669727722,   9.995,  13.158,  -1.943,  -1.947,   9.995,  13.158,  -1.943,  1.0000,  0.0008, -21.598, -21.398, -10.000, 1024, 16,
unit_f, 2022-11-29T09:15:32, 1669727732,   9.995,  13.172,  -2.010,  -2.303,   9.995,  13.172,  -2.010,  1.0000,  0.0019, -23.850, -23.650, -10.000, 0, 16,
unit_f, 2022-11-29T09:15:42, 1669727742,   9.995,  13.142,  -2.010,  -2.125,   9.995,  13.142,  -2.010,  1.0000,  0.0035, -25.867, -25.668, -10.000, 0, 16,
unit_f, 2022-11-29T09:15:52, 1669727752,   9.995,  13.168,  -1.943,  -2.125,   9.995,  13.168,  -1.943,  1.0000,  0.0051,  26.997,  27.198, -10.000, 1024, 16,
unit_f, 2022-11-29T09:16:02, 1669727762,   9.995,  13.158,  -1.943,  -2.125,   9.995,  13.158,  -1.943,  1.0000,  0.0066,  25.420,  25.620, -10.000, 1024, 16,
unit_f, 2022-11-29T09:16:12, 1669727772,   9.995,  13.146,  -1.877,  -1.947,   9.995,  13.146,  -1.877,  0.9999,  0.0081,  24.025,  24.225,  -9.921, 0, 16,
fltb,  date,                time,    Tb_h, vb_h, ibah, ibnh, Tb, vb, ib, soc, soc_ekf, voc, Voc_stat, e_w_f, fltw, falw,
Fault:
 cc_diff   -0.991  thr=  0.200 Fc^
 ib_diff    0.110  thr= 10.000 Fd^
 e_wrap    -9.010  thr=-393.600 Fo^393.600 Fi^
 ib_quiet   0.030  thr=  0.005 Fq v

 soc    1.000  voc  23.028  voc_soc  14.458
 dis_tb_fa 0  dis_vb_fa 0  dis_ib_fa 0
 bms_off   0

 Tbh=  9.995  Tbm= 10.042
 Vbh  13.168  Vbm   4.386
 imh  -1.743  imm  -1.743
 inh  -1.948  inm  -1.743

 mod_tb  0  mod_vb  0  mod_ib  0
 tb_s_st 1  vb_s_st 1  ib_s_st 1
 fake_faults 1 latched_fail 1 latched_fail_fake 0 preserving 0

 bare n  0  x 
 bare m  0  x 
 ib_dsc  0  0 'Fq v'
 ibd_lo  0  0 'Fd ^  *SA/*SB'
 ibd_hi  0  0 'Fd ^  *SA/*SB'
 red wv  0  0   'Fd, Fi/Fo ^'
 wl      0  0 'Fo ^'
 wh      0  0 'Fi ^'
 cc_dif  x  1 'Fc ^'
 ib n    0  0 'Fi 1'
 ib m    0  0 'Fi 1'
 vb      0  0 'Fv 1  *SV, *Dc/*Dv'
 tb      0  0 'Ft 1'
  0000000000000   00000010000
  CBA98765x3210 xxA9876543210
  fltw=0     falw=16
fake_faults=>redlecho: Hd, 4
echo: Hd, 0

unit_h, 2022-11-24T20:31:28, 1669336288,   6.057,  13.297,  -0.203,  0.9999,  0.9909,  13.299,  13.300, 0,
unit_h, 2022-11-24T21:01:28, 1669338088,   5.743,  13.241,  -0.203,  0.9998,  0.9905,  13.243,  13.244, 0,
unit_h, 2022-11-24T21:31:28, 1669339888,   5.368,  13.236,  -0.203,  0.9999,  0.9903,  13.238,  13.240, 0,
unit_h, 2022-11-24T22:01:28, 1669341688,   5.118,  13.206,  -0.203,  0.9998,  0.9861,  13.208,  13.210, 0,
unit_h, 2022-11-24T22:31:28, 1669343488,   4.807,  13.180,  -0.203,  0.9999,  0.9644,  13.182,  13.184, 0,
unit_h, 2022-11-24T23:01:28, 1669345288,   4.557,  13.189,  -0.203,  0.9999,  0.9464,  13.192,  13.193, 0,
unit_h, 2022-11-24T23:31:28, 1669347088,   5.625,  13.064,  -3.148,  0.9756,  0.8343,  13.102,  13.121, 0,
unit_h, 2022-11-25T00:01:28, 1669348888,   7.500,  13.184,  -0.203,  0.9521,  0.8302,  13.187,  13.188, 0,
unit_h, 2022-11-25T00:31:29, 1669350689,   7.618,  13.172,  -0.203,  0.9493,  0.8852,  13.174,  13.175, 0,
unit_h, 2022-11-25T01:01:29, 1669352489,   6.932,  13.193,  -0.203,  0.9546,  0.9337,  13.196,  13.197, 0,
unit_h, 2022-11-25T01:31:29, 1669354289,   6.243,  13.180,  -0.203,  0.9598,  0.9536,  13.182,  13.184, 0,
unit_h, 2022-11-25T02:01:29, 1669356089,   5.743,  13.202,  -0.203,  0.9636,  0.9596,  13.204,  13.205, 0,
unit_h, 2022-11-25T02:31:29, 1669357889,   5.307,  13.193,  -0.203,  0.9666,  0.9621,  13.196,  13.197, 0,
unit_h, 2022-11-25T03:01:29, 1669359689,   4.993,  13.189,  -0.203,  0.9684,  0.9614,  13.192,  13.193, 0,
unit_h, 2022-11-25T03:31:29, 1669361489,   4.743,  13.202,  -0.203,  0.9696,  0.9608,  13.204,  13.205, 0,
unit_h, 2022-11-25T04:01:29, 1669363289,   4.557,  13.189,  -0.203,  0.9702,  0.9594,  13.192,  13.193, 0,
unit_h, 2022-11-25T04:31:29, 1669365089,   5.625,  13.077,  -3.148,  0.9477,  0.8522,  13.116,  13.134, 0,
unit_h, 2022-11-25T05:01:29, 1669366889,   7.500,  13.163,  -0.203,  0.9247,  0.8314,  13.166,  13.167, 0,
unit_h, 2022-11-25T05:31:30, 1669368690,   7.743,  13.202,  -0.203,  0.9211,  0.8797,  13.204,  13.205, 0,
unit_h, 2022-11-25T06:01:30, 1669370490,   7.432,  13.172,  -0.203,  0.9227,  0.9146,  13.174,  13.175, 0,
unit_h, 2022-11-25T06:31:30, 1669372290,   6.993,  13.206,  -0.203,  0.9256,  0.9323,  13.208,  13.210, 0,
unit_h, 2022-11-25T07:01:30, 1669374090,   6.682,  13.172,  -0.203,  0.9273,  0.9388,  13.174,  13.175, 0,
unit_h, 2022-11-25T07:31:30, 1669375890,   6.432,  13.210,  -0.203,  0.9285,  0.9403,  13.213,  13.214, 0,
